name,phone,phone_type,email,birthday,group
Lionel Messi,+7-773-895-24-59,mobile,lionelmessi@gmail.com,1987-04-15,Friend
Xavi Hernandez,+7-782-893-70-12,work,xavihernandez@gmail.com,1980-04-15,Friend
Andres Iniesta,+7-710-519-80-53,home,andresiniesta@gmail.com,1984-08-22,Work
Gerard Pique,+7-724-729-33-49,mobile,gerardpique@gmail.com,1987-12-01,Family
Sergio Busquets,+7-717-659-53-98,work,sergiobusquets@gmail.com,1988-03-30,Work
Pedri,+7-793-326-99-85,mobile,pedri@gmail.com,2002-07-19,Friend
Gavi,+7-701-487-22-64,home,gavi@gmail.com,2004-11-05,Family
Robert Lewandowski,+7-767-497-89-64,mobile,robertlewandowski@gmail.com,1988-02-14,Friend
Marc-Andre ter Stegen,+7-772-467-42-47,work,marcandreterstegen@gmail.com,1992-09-08,Work
Neymar Jr,+7-701-739-95-35,mobile,neymarjr@gmail.com,1992-06-23,Other
